Jatropha Curcas
Juglans Cinerea
Juglans Regia
Juncus Effusus
Juniperus Communis
Juniperus Virginiana
Justicia Adhatoda
Kali Aceticum
Kali Arsenicosum
Kali Bicarbonicum
Kali Bichromicum
Kali Bromatum
Kali Carbonicum
Kali Causticum
Kali Chloricum
Kali Chromicum
Kali Cyanatum
Kali Ferrocyanatum
Kali Hypophosphoricum
Kali Iodatum
Kali Muriaticum
Kali Nitricum
Kali Oxalicum
Kali Permanganicum
Kali Phosphoricum
Kali Picricum
Kali Sulphuricum
Kalmia Latifolia
Kaolinum
Kino De Malabar
Kreosotum
Lac Caninum
Lac Defloratum
Lac Felinum
Lac Vaccinum
Lachesis
Lachnanthes Tinctoria
Lactuca Virosa
Lamium Album
Lapis Albus
Lappa Major
Lathyrus Sativus
Latrodectus Mactans
Laurocerasus
Lecithinum
Ledum Palustre
Lemna Minor
Leonuorus Cardiaca
Leptandra
Leucas Aspera
Liatris Spicata
Lilium Tigrinum
Lithium Benzoicum
Lithium Bromatum
Lithium Carbonicum
Lobelia Inflata
Lodium
Lolium Temulentum
Luesinum
Luffa Amara
Luffa Operculata
Lupulus
Luteinum
Lycopersicum Esculentum
Lycopodium Clavatum
Lycopus Virginicus
Magnesia Carbonica
Magnesia Muriatica
Magnesia Oxydata
Magnesia Phosphoricum
Magnesia Sulphurica
Magnetis Polus Australis
Magnolia Grandiflora
Malandrinum
Malaria Officinalis
Manganum Aceticum
Manganum Carbonicum
Manganum Metallicum
Manganum Muriaticum
Manganum Oxydatum Nigrum
Mangifera Indica
Medorrhinum
Medusa
Melcum Sale
Melilotus Alba
Melilotus Officinalis
Mentha Piperita
Mentholum
Menyanthes Trifoliata
Mephitis Mephitica
Mercurialis Perennis
Mercurius Aceticus
Mercurius Corrosivus
Mercurius Cyanatus
Mercurius Dulcis
Mercurius Et Kali Iodatus
Mercurius Iod.Flavus
Mercurius Iod.Ruber
Mercurius Nitricus
Mercurius Oxydatus Flavus
Mercurius Percipitatus Albus
Mercurius Percipitatus Ruber
Mercurius Solubilis
Mercurius Sulphuricus
Mercurius Vivus
Mezereum
Mica
Millefolium
Milleofolium
Mitchella Repens
Momordica Charantia
Morbillinum
Morgan Gaertner
Moringa Oleifera
Morphinum
Morphinum Aceticum
Morphinum Muriaticum
Moschus
Mullein Flower
Murex Purpurea
Musa Sapientum
Mutabillis
Mygale
Myosotis Arvensis
Myrica Cerifera
Myristica Sebifera
Myrtus Communis
Naja Tripudians
Naphthalinum
Narcissus Pseudonaricissus
Narcotinum
Natrum Aceticum
Natrum Arsenicosum
Natrum Bormatum
Natrum Cacodylicum
Natrum Carbonicum
Natrum Causticum
Natrum Chloricum
Natrum Fluoricum
Natrum Hypochlorosum
Natrum Hypophosphorosum
Natrum Iodatum
Natrum Muriaticum
Natrum Nitricum
Natrum Phosphoricum
Natrum Salicylicum
Natrum Sulphuricum
Natrum Sulphurosum
Niccolijm Metallicum
